epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,2230.41,1.12449,1.22744,1.24788,0.40299,0.26419,0.27265,0.18309,1.59754,2.94169,1.71192,0.000282815,0.000282815,0.000282815
63,2264.66,1.11486,1.22474,1.23891,0.34493,0.32199,0.27686,0.18328,1.60151,2.86837,1.71556,0.000275747,0.000275747,0.000275747
64,2301.58,1.1081,1.22169,1.24488,0.44343,0.26971,0.27231,0.18134,1.60156,2.83504,1.73265,0.000268678,0.000268678,0.000268678
65,2336,1.11639,1.22696,1.25281,0.3634,0.30281,0.26956,0.17765,1.62421,2.86556,1.73517,0.00026161,0.00026161,0.00026161
66,2370.44,1.10594,1.19774,1.2357,0.31748,0.31155,0.26934,0.1722,1.64528,3.00535,1.76418,0.000254541,0.000254541,0.000254541
67,2406.29,1.10232,1.20301,1.23311,0.38885,0.28747,0.26319,0.173,1.65045,2.98011,1.75689,0.000247472,0.000247472,0.000247472
68,2441.51,1.10485,1.21047,1.24064,0.34951,0.29488,0.26443,0.17063,1.61447,2.94577,1.74268,0.000240404,0.000240404,0.000240404
69,2476.09,1.09735,1.19688,1.2347,0.30438,0.29456,0.24547,0.15491,1.62692,3.05873,1.75857,0.000233335,0.000233335,0.000233335
70,2510.79,1.09262,1.17366,1.22904,0.40876,0.27071,0.26625,0.1702,1.61313,2.91658,1.7396,0.000226267,0.000226267,0.000226267
71,2548.33,1.09267,1.19191,1.24154,0.39654,0.30731,0.27379,0.17887,1.62958,2.90555,1.75515,0.000219198,0.000219198,0.000219198
72,2582.15,1.08385,1.168,1.22085,0.31229,0.30684,0.25341,0.16322,1.62288,2.93834,1.78394,0.000212129,0.000212129,0.000212129
73,2616.09,1.07805,1.17098,1.22523,0.3558,0.33249,0.27192,0.16854,1.61569,2.90647,1.75738,0.000205061,0.000205061,0.000205061
74,2651.5,1.10895,1.20069,1.23623,0.37281,0.31784,0.27322,0.17967,1.61633,2.78793,1.74247,0.000197992,0.000197992,0.000197992
75,2686.38,1.09387,1.18202,1.23644,0.32138,0.31623,0.25989,0.16721,1.61679,2.93874,1.73675,0.000190924,0.000190924,0.000190924
76,2721.05,1.0931,1.16762,1.23019,0.32897,0.28529,0.24932,0.16674,1.60348,2.99523,1.75081,0.000183855,0.000183855,0.000183855
77,2755.84,1.08893,1.17851,1.22637,0.34341,0.30359,0.26658,0.17383,1.62318,2.90465,1.7547,0.000176786,0.000176786,0.000176786
78,2790.86,1.06883,1.14465,1.22214,0.37287,0.29329,0.27304,0.17484,1.61117,2.91243,1.74513,0.000169718,0.000169718,0.000169718
79,2827,1.08978,1.15042,1.22394,0.34733,0.31887,0.27334,0.1741,1.61022,2.95922,1.74221,0.000162649,0.000162649,0.000162649
80,2861.37,1.07617,1.15414,1.21803,0.42157,0.25046,0.25688,0.16698,1.62815,3.09822,1.75768,0.000155581,0.000155581,0.000155581
81,2896.62,1.05861,1.12453,1.20985,0.35662,0.2743,0.25832,0.17043,1.62109,2.94625,1.7433,0.000148512,0.000148512,0.000148512
82,2932.52,1.07285,1.14614,1.21182,0.32889,0.29326,0.25902,0.16907,1.60592,2.98997,1.72547,0.000141443,0.000141443,0.000141443
83,2966.93,1.07136,1.12213,1.20734,0.32193,0.30285,0.25124,0.16295,1.62851,3.10643,1.74956,0.000134375,0.000134375,0.000134375
84,3002.46,1.07488,1.13785,1.21745,0.30525,0.32794,0.25877,0.17233,1.61402,2.96421,1.73295,0.000127306,0.000127306,0.000127306
85,3039.36,1.06019,1.12276,1.20863,0.30782,0.31965,0.26302,0.16774,1.63645,2.95227,1.7538,0.000120238,0.000120238,0.000120238
86,3076.3,1.06898,1.12538,1.21742,0.32629,0.30169,0.26771,0.17005,1.60445,2.99434,1.7448,0.000113169,0.000113169,0.000113169
87,3111.81,1.0695,1.122,1.2175,0.31794,0.30944,0.26654,0.17891,1.61107,2.95552,1.75197,0.0001061,0.0001061,0.0001061
88,3149.08,1.07032,1.12717,1.21287,0.29805,0.31448,0.26389,0.17453,1.63425,2.95934,1.76518,9.90318e-05,9.90318e-05,9.90318e-05
89,3185.4,1.04813,1.11499,1.20159,0.30496,0.32192,0.26288,0.17762,1.61848,2.98606,1.75135,9.19632e-05,9.19632e-05,9.19632e-05
90,3220.19,1.04723,1.09036,1.20287,0.40866,0.25832,0.25531,0.16925,1.61745,3.03416,1.75422,8.48946e-05,8.48946e-05,8.48946e-05
